temperature,ka_mean,frac,dataset,type
2.5,0.9267605633802817,0.05,mii_long,Filtered
2.5,0.9346037245560849,0.1,mii_long,Filtered
2.5,0.9567196857492434,0.25,mii_long,Filtered
2.5,0.9622958639016966,0.5,mii_long,Filtered
2.5,0.9561832177755544,0.75,mii_long,Filtered
2.7,1.0,0.05,mii_long,Filtered
2.7,0.9615170105967652,0.1,mii_long,Filtered
2.7,0.9188758070641854,0.25,mii_long,Filtered
2.7,0.907000092106475,0.5,mii_long,Filtered
2.7,0.9231979574872343,0.75,mii_long,Filtered
2.9,0.9557829344052622,0.02,mii_long,Filtered
2.9,0.9490699177649298,0.05,mii_long,Filtered
2.9,0.9471174125862327,0.1,mii_long,Filtered
2.9,0.9444853711272266,0.25,mii_long,Filtered
2.9,0.9418734613259514,0.5,mii_long,Filtered
2.9,0.9411792518723058,0.75,mii_long,Filtered
3.1,1.0,0.02,mii_long,Filtered
3.1,1.0,0.05,mii_long,Filtered
3.1,0.9796246648793566,0.1,mii_long,Filtered
3.1,0.9542465902298538,0.25,mii_long,Filtered
3.1,0.9621453666276303,0.5,mii_long,Filtered
3.1,0.9648387449387694,0.75,mii_long,Filtered
3.3,0.9032258064516129,0.02,mii_long,Filtered
3.3,0.9212182984591403,0.05,mii_long,Filtered
3.3,0.9224918686547128,0.1,mii_long,Filtered
3.3,0.9233322293793441,0.25,mii_long,Filtered
3.3,0.9270766964125159,0.5,mii_long,Filtered
3.3,0.923962326467248,0.75,mii_long,Filtered
3.5,1.0,0.02,mii_long,Filtered
3.5,1.0,0.05,mii_long,Filtered
3.5,1.0,0.1,mii_long,Filtered
3.5,0.975105140726819,0.25,mii_long,Filtered
3.5,0.965520232958146,0.5,mii_long,Filtered
3.5,0.9677817888464104,0.75,mii_long,Filtered
3.7,0.8859416445623343,0.05,mii_long,Filtered
3.7,0.940552348260259,0.1,mii_long,Filtered
3.7,0.8931213085376781,0.25,mii_long,Filtered
3.7,0.9035707658275511,0.5,mii_long,Filtered
3.7,0.91187832020636,0.75,mii_long,Filtered
3.9,1.0,0.02,mii_long,Filtered
3.9,1.0,0.05,mii_long,Filtered
3.9,1.0,0.1,mii_long,Filtered
3.9,0.98630045106226,0.25,mii_long,Filtered
3.9,0.983857842064191,0.5,mii_long,Filtered
3.9,0.9803815433754463,0.75,mii_long,Filtered
4.1,0.8522216674987518,0.02,mii_long,Filtered
4.1,0.9013511012400518,0.05,mii_long,Filtered
4.1,0.8838982080196587,0.1,mii_long,Filtered
4.1,0.8780280230409925,0.25,mii_long,Filtered
4.1,0.877818265715698,0.5,mii_long,Filtered
4.1,0.8698861164749035,0.75,mii_long,Filtered
4.3,0.9224598930481284,0.02,mii_long,Filtered
4.3,0.7672380952380953,0.05,mii_long,Filtered
4.3,0.7777533765235534,0.1,mii_long,Filtered
4.3,0.7559892480079802,0.25,mii_long,Filtered
4.3,0.7548754710056013,0.5,mii_long,Filtered
4.3,0.7374947639245273,0.75,mii_long,Filtered
4.5,1.0,0.02,mii_long,Filtered
4.5,1.0,0.05,mii_long,Filtered
4.5,1.0,0.1,mii_long,Filtered
4.5,0.9675211164157179,0.25,mii_long,Filtered
4.5,0.969834105071804,0.5,mii_long,Filtered
4.5,0.966315119962387,0.75,mii_long,Filtered
4.8,1.0,0.05,mii_long,Filtered
4.8,1.0,0.1,mii_long,Filtered
4.8,0.971,0.25,mii_long,Filtered
4.8,0.907413379196675,0.5,mii_long,Filtered
4.8,0.901689442645369,0.75,mii_long,Filtered
5.0,0.0,0.02,mii_long,Filtered
5.0,0.8426966292134832,0.05,mii_long,Filtered
5.0,0.8854368932038835,0.1,mii_long,Filtered
5.0,0.9127242645157955,0.25,mii_long,Filtered
5.0,0.9339233424397585,0.5,mii_long,Filtered
5.0,0.9347518481271724,0.75,mii_long,Filtered
0.1,0.9003767266638761,0.02,mii,Filtered
0.1,0.9594105480868667,0.05,mii,Filtered
0.1,0.9601094644847334,0.1,mii,Filtered
0.1,0.9753091574581321,0.25,mii,Filtered
0.1,0.9753420436318384,0.5,mii,Filtered
0.1,0.9763641600835167,0.75,mii,Filtered
0.3,0.9609621451104101,0.02,mii,Filtered
0.3,0.9509352742102207,0.05,mii,Filtered
0.3,0.9585796627171741,0.1,mii,Filtered
0.3,0.9574497375093031,0.25,mii,Filtered
0.3,0.956173117065919,0.5,mii,Filtered
0.3,0.9552851161168211,0.75,mii,Filtered
0.5,0.9733487833140209,0.02,mii,Filtered
0.5,0.9461134757634613,0.05,mii,Filtered
0.5,0.9680999102131826,0.1,mii,Filtered
0.5,0.9613170162061573,0.25,mii,Filtered
0.5,0.9602633418253098,0.5,mii,Filtered
0.5,0.959347252179707,0.75,mii,Filtered
0.7,0.9714952060119202,0.02,mii,Filtered
0.7,0.9637480373141221,0.05,mii,Filtered
0.7,0.9602695280950733,0.1,mii,Filtered
0.7,0.9649071510975011,0.25,mii,Filtered
0.7,0.9670921447414617,0.5,mii,Filtered
0.7,0.9639607672672117,0.75,mii,Filtered
0.9,0.9740978525570069,0.02,mii,Filtered
0.9,0.9666870778329987,0.05,mii,Filtered
0.9,0.9547835739540504,0.1,mii,Filtered
0.9,0.9661608975581341,0.25,mii,Filtered
0.9,0.9626369215917749,0.5,mii,Filtered
0.9,0.963059893880267,0.75,mii,Filtered
1.1,0.9320882852292021,0.02,mii,Filtered
1.1,0.9388552223505444,0.05,mii,Filtered
1.1,0.9525860854954863,0.1,mii,Filtered
1.1,0.9558836845432237,0.25,mii,Filtered
1.1,0.9587472990191984,0.5,mii,Filtered
1.1,0.958150636883354,0.75,mii,Filtered
1.3,0.9483110405803673,0.02,mii,Filtered
1.3,0.9657820424158599,0.05,mii,Filtered
1.3,0.9515870656505966,0.1,mii,Filtered
1.3,0.9576097083110612,0.25,mii,Filtered
1.3,0.9543929446733377,0.5,mii,Filtered
1.3,0.9565218479890385,0.75,mii,Filtered
1.5,0.9238653001464129,0.02,mii,Filtered
1.5,0.9271661783172875,0.05,mii,Filtered
1.5,0.9225072638367231,0.1,mii,Filtered
1.5,0.923151506792635,0.25,mii,Filtered
1.5,0.9298767014099357,0.5,mii,Filtered
1.5,0.9220325597644197,0.75,mii,Filtered
1.7,1.0,0.02,mii,Filtered
1.7,0.9607582518434128,0.05,mii,Filtered
1.7,0.9490376670576475,0.1,mii,Filtered
1.7,0.9396357198612357,0.25,mii,Filtered
1.7,0.9402980812104551,0.5,mii,Filtered
1.7,0.9372461215883701,0.75,mii,Filtered
1.9,0.8998232174425457,0.02,mii,Filtered
1.9,0.9546907702569056,0.05,mii,Filtered
1.9,0.9530697524911604,0.1,mii,Filtered
1.9,0.9608708544237937,0.25,mii,Filtered
1.9,0.9566285461882142,0.5,mii,Filtered
1.9,0.9577968686612044,0.75,mii,Filtered
2.1,1.0,0.02,mii,Filtered
2.1,1.0,0.05,mii,Filtered
2.1,0.960854361116003,0.1,mii,Filtered
